,Mkt-RF,SMB,HML,RMW,CMA,RF
2018-05-01,0.24,0.25,-0.53,0.01,-0.97,0.006
2018-05-02,-0.63,1.24,-0.28,0.01,-0.03,0.006
2018-05-03,-0.25,-0.58,-0.17,0,-0.1,0.006
2018-05-04,1.3,-0.03,-0.23,-0.38,0.06,0.006
2018-05-07,0.42,0.39,-0.36,-0.52,-0.32,0.006
2018-05-08,0.07,0.49,0.26,-0.25,0.14,0.006
2018-05-09,0.89,-0.23,0.24,-0.88,-0.01,0.006
2018-05-10,0.84,-0.37,-0.04,0.25,-0.33,0.006
2018-05-11,0.19,0.11,-0.37,0.2,0.13,0.006
2018-05-14,0.05,-0.28,0.12,-0.18,0.5,0.006
2018-05-15,-0.55,0.71,0.41,-0.08,0.43,0.006
2018-05-16,0.49,0.68,-0.24,0.36,0.1,0.006
2018-05-17,0.02,0.87,0.25,-0.32,0.3,0.006
2018-05-18,-0.23,0.46,-0.58,0.05,-0.2,0.006
2018-05-21,0.72,-0.19,0.44,0.2,0.07,0.006
2018-05-22,-0.42,-0.66,0.59,-0.29,-0.39,0.006
2018-05-23,0.29,-0.07,-0.72,-0.04,-0.37,0.006
2018-05-24,-0.16,0.32,-0.31,0.48,0.09,0.006
2018-05-25,-0.21,0.22,-0.4,0.61,-0.52,0.006
2018-05-29,-1.03,1.1,-1.03,0.17,-0.03,0.006
2018-05-30,1.31,0.05,0.35,-0.7,0.2,0.006
2018-05-31,-0.7,0.04,-0.4,-0.51,-0.16,0.006
